loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,loan_status
18825,18825,18825.0, 60 months,11.99%,418.66,B,B5,Fully Paid
10000,10000,9900.0, 60 months,15.33%,239.64,D,D3,Fully Paid
18000,18000,17975.0, 36 months,13.85%,613.87,C,C4,Fully Paid
25000,25000,24891.42924, 36 months,15.31%,870.39,D,D3,Fully Paid
2500,2500,2500.0, 36 months,13.49%,84.83,C,C2,Fully Paid
7000,7000,6995.998805, 36 months,14.96%,242.52,D,D2,Fully Paid
10000,10000,10000.0, 36 months,16.89%,355.99,D,D4,Fully Paid
6000,6000,6000.0, 36 months,10.25%,194.31,B,B2,Fully Paid
15000,15000,14950.0, 36 months,11.86%,497.22,B,B5,Fully Paid
6000,6000,6000.0, 36 months,10.99%,196.41,B,B3,Fully Paid
12000,12000,12000.0, 60 months,15.57%,289.09,D,D5,Fully Paid
3500,3500,3500.0, 36 months,13.49%,118.76,C,C2,Fully Paid
6000,6000,6000.0, 36 months,12.99%,202.14,C,C1,Fully Paid
5000,5000,5000.0, 36 months,16.49%,177.0,D,D3,Fully Paid
1500,1500,1500.0, 36 months,13.49%,50.9,C,C1,Fully Paid
10000,10000,9969.079074, 36 months,16.00%,351.58,D,D5,Fully Paid
4475,4475,4475.0, 36 months,10.65%,145.77,B,B2,Fully Paid
12400,12400,12300.0, 36 months,11.83%,410.87,B,B3,Fully Paid
12000,12000,11974.32, 36 months,15.31%,417.79,D,D3,Fully Paid
12000,10675,10675.0, 60 months,10.99%,232.05,B,B3,Fully Paid
12000,12000,12000.0, 36 months,5.42%,361.92,A,A1,Fully Paid
18500,15775,15775.0, 60 months,10.65%,340.24,B,B2,Fully Paid
7000,7000,3584.795098, 36 months,13.79%,238.53,C,C5,Fully Paid
30000,30000,29725.0, 60 months,20.89%,809.75,F,F1,Fully Paid
15000,15000,15000.0, 60 months,16.49%,368.69,D,D3,Fully Paid
10000,10000,9975.0, 36 months,8.94%,317.72,A,A5,Fully Paid
3000,3000,1710.7081, 36 months,7.37%,93.14,A,A1,Fully Paid
6000,6000,6000.0, 36 months,14.65%,206.97,C,C3,Fully Paid
4800,4800,4800.0, 36 months,7.49%,149.29,A,A4,Fully Paid
19400,19400,16889.19602, 60 months,11.49%,426.56,B,B4,Fully Paid
15000,15000,15000.0, 36 months,7.49%,466.53,A,A4,Fully Paid
18825,18825,18825.0, 36 months,7.90%,589.04,A,A4,Fully Paid
18225,18225,18225.0, 36 months,10.99%,596.58,B,B3,Fully Paid
16000,16000,8250.2, 36 months,8.63%,506.05,A,A5,Fully Paid
7000,7000,7000.0, 36 months,15.62%,244.79,D,D1,Fully Paid
8000,8000,7900.0, 36 months,13.22%,270.41,C,C2,Fully Paid
10000,10000,10000.0, 36 months,14.59%,344.65,D,D1,Fully Paid
8500,8500,8500.0, 36 months,11.14%,278.85,B,B2,Fully Paid
7000,7000,6975.0, 36 months,10.95%,229.0,B,B1,Fully Paid
17150,17150,17100.0, 60 months,14.83%,406.47,D,D3,Fully Paid
6000,6000,6000.0, 60 months,19.03%,155.75,E,E2,Fully Paid
10000,10000,9746.636275, 36 months,7.88%,312.82,A,A5,Fully Paid
17000,17000,17000.0, 60 months,10.74%,367.43,B,B4,Fully Paid
12000,12000,12000.0, 36 months,11.49%,395.66,B,B4,Fully Paid
12250,12250,12225.0, 36 months,14.84%,423.7,D,D1,Fully Paid
12000,12000,12000.0, 36 months,10.99%,392.83,B,B4,Fully Paid
7500,7500,7500.0, 36 months,6.62%,230.28,A,A2,Fully Paid
22750,22750,22725.0, 60 months,19.29%,593.79,E,E4,Fully Paid
1000,1000,1000.0, 36 months,13.99%,34.18,C,C3,Fully Paid
25000,25000,24900.0, 36 months,15.95%,878.31,D,D4,Fully Paid
25000,25000,25000.0, 60 months,20.25%,665.83,F,F1,Fully Paid
13850,13850,13850.0, 36 months,12.68%,464.53,C,C1,Fully Paid
4000,4000,4000.0, 36 months,10.99%,130.94,B,B3,Fully Paid
9600,9600,8475.0, 36 months,7.51%,298.65,A,A4,Fully Paid
15000,15000,14975.0, 60 months,14.79%,355.2,C,C4,Fully Paid
9000,9000,9000.0, 36 months,5.79%,272.95,A,A2,Fully Paid
3000,3000,3000.0, 36 months,13.92%,102.42,C,C4,Fully Paid
4750,4750,4750.0, 36 months,10.37%,154.1,B,B3,Fully Paid
20000,20000,18407.10246, 36 months,6.91%,616.72,A,A5,Fully Paid
35000,21925,21925.0, 60 months,22.48%,611.55,G,G2,Fully Paid
24000,24000,23675.0, 36 months,11.48%,791.25,B,B2,Fully Paid
11000,11000,10950.0, 36 months,12.53%,368.13,B,B5,Fully Paid
6000,6000,5932.46542, 36 months,10.36%,194.62,B,B5,Fully Paid
9350,9350,9100.0, 36 months,7.49%,290.81,A,A4,Fully Paid
3000,3000,3000.0, 36 months,7.05%,92.7,A,A1,Fully Paid
28200,28200,28040.80268, 60 months,18.64%,725.95,E,E1,Fully Paid
14000,14000,14000.0, 60 months,16.02%,340.61,D,D5,Fully Paid
2000,2000,2000.0, 36 months,5.42%,60.32,A,A1,Fully Paid
17000,17000,16475.0, 36 months,8.88%,539.65,B,B1,Fully Paid
1450,1450,1450.0, 36 months,12.42%,48.46,B,B4,Fully Paid
10000,10000,9875.0, 36 months,9.88%,322.11,B,B1,Fully Paid
8000,8000,7950.0, 36 months,12.87%,269.07,C,C1,Fully Paid
15000,15000,14975.0, 36 months,6.03%,456.54,A,A1,Fully Paid
8400,8400,8400.0, 60 months,10.37%,180.01,B,B3,Fully Paid
9600,9600,9251.368807, 36 months,7.29%,297.7,A,A4,Fully Paid
5000,5000,4571.765803, 36 months,11.48%,164.85,B,B2,Fully Paid
2000,2000,2000.0, 36 months,10.37%,64.89,B,B3,Fully Paid
23450,23450,22598.23047, 36 months,11.36%,771.77,B,B5,Fully Paid
15000,15000,14775.0, 36 months,7.51%,466.67,A,A4,Fully Paid
12000,12000,724.56, 36 months,10.91%,392.36,C,C3,Fully Paid
7000,7000,6950.0, 36 months,6.92%,215.89,A,A3,Fully Paid
7000,7000,7000.0, 60 months,15.23%,167.38,C,C5,Fully Paid
16000,10050,9975.0, 60 months,9.99%,213.49,B,B4,Fully Paid
15000,15000,14860.81707, 36 months,16.32%,529.71,E,E3,Fully Paid
25500,25500,25250.0, 60 months,11.99%,567.11,B,B5,Fully Paid
16000,16000,15967.14146, 60 months,10.99%,347.8,B,B3,Fully Paid
8000,8000,8000.0, 36 months,5.42%,241.28,A,A1,Fully Paid
8000,8000,8000.0, 36 months,11.14%,262.43,B,B1,Fully Paid
24250,17275,17251.55581, 36 months,14.72%,596.48,C,C5,Fully Paid
8000,8000,8000.0, 36 months,7.90%,250.33,A,A4,Fully Paid
7500,7500,7500.0, 36 months,5.99%,228.14,A,A2,Fully Paid
4000,4000,4000.0, 36 months,10.99%,130.94,B,B3,Fully Paid
15000,12500,12500.0, 60 months,11.99%,278.0,B,B5,Fully Paid
25000,25000,25000.0, 36 months,13.43%,847.54,C,C3,Fully Paid
6000,6000,6000.0, 36 months,13.23%,202.83,C,C1,Fully Paid
15000,15000,14775.0, 36 months,8.94%,476.58,A,A5,Fully Paid
20000,20000,19900.0, 60 months,15.99%,486.26,D,D2,Fully Paid
20000,13825,13393.54637, 60 months,13.23%,316.2,C,C1,Fully Paid
5600,5600,5600.0, 36 months,10.99%,183.32,B,B3,Fully Paid
20000,20000,19893.7, 36 months,13.57%,679.37,C,C3,Fully Paid
2500,2500,2500.0, 36 months,13.35%,84.66,C,C4,Fully Paid
3250,3250,3250.0, 36 months,5.42%,98.02,A,A1,Fully Paid
18250,18250,18200.0, 36 months,10.75%,595.33,B,B2,Fully Paid
2800,2800,2800.0, 36 months,10.59%,91.13,B,B2,Fully Paid
3500,3500,3500.0, 36 months,7.90%,109.52,A,A4,Fully Paid
13000,13000,13000.0, 60 months,17.49%,326.52,D,D5,Fully Paid
12250,12250,12225.0, 60 months,15.58%,295.17,D,D3,Fully Paid
10000,10000,9866.960464, 36 months,8.94%,317.72,A,A5,Fully Paid
20000,13900,13821.52495, 60 months,16.45%,341.36,E,E1,Fully Paid
3200,3200,3200.0, 60 months,19.41%,83.74,F,F4,Fully Paid
10000,10000,10000.0, 60 months,17.14%,249.28,E,E3,Fully Paid
15700,15700,14931.3097, 60 months,18.25%,400.82,D,D5,Fully Paid
6000,6000,5950.0, 36 months,10.38%,194.68,B,B1,Fully Paid
8000,8000,7725.0, 36 months,13.92%,273.1,C,C4,Fully Paid
25000,25000,24835.09335, 60 months,13.61%,576.67,C,C2,Fully Paid
7200,7200,7200.0, 36 months,11.11%,236.1,B,B5,Fully Paid
8500,8500,8500.0, 60 months,15.58%,204.82,D,D3,Fully Paid
4000,4000,4000.0, 36 months,13.48%,135.7,C,C3,Fully Paid
12000,12000,6540.394196, 36 months,12.53%,401.6,C,C1,Fully Paid
15000,15000,15000.0, 36 months,14.26%,514.59,C,C5,Fully Paid
2500,2500,2500.0, 36 months,13.99%,85.44,C,C3,Fully Paid
12000,12000,12000.0, 36 months,12.69%,402.54,B,B5,Fully Paid
7500,7500,0.0, 36 months,11.34%,246.75,C,C2,Fully Paid
14000,14000,14000.0, 36 months,14.17%,479.65,C,C5,Fully Paid
12250,12250,12200.0, 36 months,15.31%,426.49,D,D3,Fully Paid
16000,16000,16000.0, 60 months,14.79%,378.88,C,C4,Fully Paid
9000,9000,9000.0, 36 months,10.99%,294.62,B,B4,Fully Paid
5000,5000,4104.33, 36 months,11.03%,163.77,C,C1,Fully Paid
13000,9650,9600.0, 60 months,11.49%,212.19,B,B4,Fully Paid
12000,12000,11382.67084, 36 months,7.51%,373.33,A,A4,Fully Paid
10000,10000,10000.0, 36 months,15.33%,348.29,D,D3,Fully Paid
8400,8400,8400.0, 36 months,14.91%,290.82,D,D2,Fully Paid
10000,10000,10000.0, 36 months,10.65%,325.74,B,B2,Fully Paid
8000,8000,7850.0, 36 months,7.74%,249.75,A,A3,Fully Paid
23000,4325,1684.11, 36 months,11.03%,141.66,C,C1,Fully Paid
16000,16000,15750.0, 36 months,11.71%,529.22,B,B3,Fully Paid
7500,7500,7475.0, 36 months,13.22%,253.51,C,C2,Fully Paid
22750,14400,14283.70062, 36 months,6.54%,441.61,A,A4,Fully Paid
1000,1000,1000.0, 36 months,11.49%,32.98,B,B4,Fully Paid
10000,10000,10000.0, 36 months,12.42%,334.16,B,B4,Fully Paid
4200,4200,4125.0, 36 months,12.53%,140.56,B,B5,Fully Paid
20000,20000,19925.0, 36 months,13.47%,678.46,C,C4,Fully Paid
6250,6250,6250.0, 36 months,6.99%,192.96,A,A3,Fully Paid
9600,9600,9475.0, 60 months,8.88%,198.73,B,B1,Fully Paid
14500,14500,14450.0, 60 months,12.98%,329.78,C,C3,Fully Paid
12375,12375,12076.6308, 60 months,8.49%,253.84,A,A5,Fully Paid
3000,3000,3000.0, 36 months,9.88%,96.64,B,B1,Fully Paid
4325,4325,4325.0, 36 months,11.89%,143.44,B,B4,Fully Paid
20000,12325,11985.61252, 60 months,6.91%,243.53,A,A5,Fully Paid
6200,6200,6200.0, 36 months,10.65%,201.96,B,B2,Fully Paid
12375,12375,12375.0, 60 months,15.65%,298.64,D,D4,Fully Paid
15000,15000,15000.0, 60 months,19.69%,394.83,E,E5,Fully Paid
13400,13400,13400.0, 60 months,23.22%,379.45,G,G4,Fully Paid
5000,5000,4750.0, 36 months,7.66%,155.9,A,A5,Fully Paid
8400,8400,8400.0, 60 months,15.96%,204.1,C,C5,Fully Paid
8000,8000,8000.0, 60 months,14.91%,189.95,D,D2,Fully Paid
3000,3000,3000.0, 36 months,14.35%,103.05,C,C4,Fully Paid
28000,23300,23039.47739, 60 months,15.65%,562.29,D,D4,Fully Paid
4500,4500,1575.0, 36 months,8.63%,142.33,A,A5,Fully Paid
25000,25000,24356.60532, 36 months,15.21%,869.21,D,D2,Fully Paid
9225,9225,9225.0, 36 months,5.99%,280.61,A,A2,Fully Paid
9000,9000,8975.0, 36 months,14.35%,309.14,C,C4,Fully Paid
12000,12000,12000.0, 60 months,11.11%,261.57,B,B5,Fully Paid
14000,14000,13750.0, 36 months,8.49%,441.89,A,A5,Fully Paid
20000,20000,19700.0, 60 months,13.49%,460.1,C,C1,Fully Paid
5000,5000,4895.027894, 60 months,11.12%,109.02,B,B3,Fully Paid
13000,13000,12950.0, 60 months,11.11%,283.37,B,B5,Fully Paid
15000,15000,14392.52983, 36 months,12.53%,502.0,B,B5,Fully Paid
14000,14000,14000.0, 60 months,14.91%,332.4,D,D2,Fully Paid
20675,20675,20625.0, 60 months,12.99%,470.32,C,C1,Fully Paid
5100,5100,5100.0, 60 months,13.06%,116.2,C,C2,Fully Paid
8000,8000,8000.0, 36 months,11.71%,264.61,B,B3,Fully Paid
6000,6000,6000.0, 36 months,11.86%,198.89,B,B5,Fully Paid
12500,12500,11975.0, 36 months,6.91%,385.45,A,A5,Fully Paid
7500,7500,4430.42, 36 months,10.51%,243.81,B,B2,Fully Paid
14400,14400,11239.93096, 36 months,12.84%,484.1,C,C2,Fully Paid
2600,2600,2100.0, 36 months,9.25%,82.99,B,B2,Fully Paid
6000,6000,6000.0, 36 months,5.42%,180.96,A,A1,Fully Paid
10000,10000,10000.0, 36 months,15.96%,351.38,C,C5,Fully Paid
7500,7500,5382.67, 36 months,11.89%,248.73,B,B4,Fully Paid
9000,9000,9000.0, 36 months,13.49%,305.38,C,C2,Fully Paid
2000,2000,2000.0, 36 months,6.62%,61.41,A,A2,Fully Paid
25000,25000,24975.0, 36 months,14.09%,855.54,D,D1,Fully Paid
4200,4200,0.0, 36 months,8.63%,132.84,A,A5,Fully Paid
6000,6000,6000.0, 36 months,11.49%,197.83,B,B4,Fully Paid
25000,25000,600.0, 36 months,9.64%,802.47,B,B4,Fully Paid
10000,6775,6775.0, 36 months,5.79%,205.47,A,A2,Fully Paid
7200,7200,7200.0, 36 months,6.99%,222.29,A,A3,Fully Paid
2000,2000,2000.0, 36 months,9.88%,64.43,B,B1,Fully Paid
10675,10675,10625.0, 36 months,6.62%,327.77,A,A2,Fully Paid
3600,3600,3600.0, 36 months,14.17%,123.34,C,C5,Fully Paid
5000,5000,672.9140289, 36 months,15.07%,173.5,E,E3,Fully Paid
12600,12600,12600.0, 36 months,16.89%,448.54,D,D4,Fully Paid
4800,4800,4800.0, 60 months,15.65%,115.84,D,D4,Fully Paid
10000,10000,8696.795713, 36 months,9.63%,320.95,A,A5,Fully Paid
15000,9475,9450.0, 60 months,8.88%,196.14,B,B1,Fully Paid
5500,5500,5500.0, 36 months,11.11%,180.35,B,B5,Fully Paid
10000,10000,10000.0, 36 months,11.11%,327.91,B,B5,Fully Paid
16000,16000,15750.0, 36 months,8.49%,505.01,A,A5,Fully Paid
5000,5000,4875.0, 36 months,8.94%,158.86,A,A5,Fully Paid
8400,8400,8400.0, 36 months,12.87%,282.52,C,C1,Fully Paid
7000,7000,6975.0, 36 months,10.59%,227.82,B,B2,Fully Paid
2650,2650,2400.0, 36 months,7.49%,82.42,A,A4,Fully Paid
21000,13500,12567.1873, 36 months,10.99%,441.91,B,B4,Fully Paid
9250,9250,8898.698608, 60 months,10.37%,198.23,B,B3,Fully Paid
4800,4800,4800.0, 36 months,14.96%,166.3,D,D2,Fully Paid
10000,10000,9972.16577, 60 months,6.91%,197.59,A,A5,Fully Paid
4000,4000,4000.0, 36 months,7.88%,125.13,A,A5,Fully Paid
6500,6500,6500.0, 36 months,17.49%,233.34,D,D5,Fully Paid
7700,7700,7700.0, 36 months,12.42%,257.3,B,B4,Fully Paid
7500,5600,755.5818439, 36 months,11.03%,183.42,C,C1,Fully Paid
9600,9600,9600.0, 36 months,14.27%,329.37,C,C2,Fully Paid
25000,25000,22849.88053, 36 months,14.59%,861.63,D,D1,Fully Paid
7500,7500,0.0, 36 months,11.34%,246.75,C,C2,Fully Paid
2500,2500,2500.0, 36 months,7.40%,77.65,A,A2,Fully Paid
4000,4000,4000.0, 36 months,13.43%,135.61,C,C3,Fully Paid
35000,35000,34975.0, 60 months,21.67%,960.11,F,F3,Fully Paid
4200,4200,4200.0, 36 months,13.35%,142.23,C,C4,Fully Paid
7500,7500,0.0, 36 months,13.55%,254.7,D,D4,Fully Paid
5000,5000,5000.0, 60 months,15.20%,119.48,D,D4,Fully Paid
6000,6000,6000.0, 36 months,5.79%,181.97,A,A2,Fully Paid
6000,6000,5980.706376, 36 months,8.59%,189.67,A,A4,Fully Paid
6000,6000,5718.365455, 36 months,13.47%,203.54,C,C4,Fully Paid
12000,12000,11950.0, 36 months,6.92%,370.09,A,A3,Fully Paid
12000,12000,12000.0, 36 months,8.90%,381.04,A,A5,Fully Paid
4600,4600,4600.0, 36 months,14.79%,158.99,C,C4,Fully Paid
24000,24000,21475.0, 60 months,11.49%,527.71,B,B4,Fully Paid
12000,12000,11840.34211, 60 months,11.11%,261.57,B,B5,Fully Paid
7000,7000,6951.029171, 36 months,12.87%,235.44,C,C1,Fully Paid
13000,13000,13000.0, 36 months,9.99%,419.42,B,B1,Fully Paid
6400,6400,6375.0, 36 months,7.88%,200.2,A,A5,Fully Paid
8875,8875,8875.0, 36 months,7.51%,276.11,A,A3,Fully Paid
4000,4000,3975.0, 36 months,8.90%,127.02,A,A5,Fully Paid
1000,1000,950.0, 36 months,14.65%,34.5,C,C3,Fully Paid
14000,14000,13825.0, 60 months,8.88%,289.81,B,B1,Fully Paid
3600,3600,3600.0, 36 months,15.23%,125.21,C,C5,Fully Paid
25000,16425,16022.59957, 60 months,13.23%,375.66,C,C1,Fully Paid
5000,5000,5000.0, 36 months,9.99%,161.32,B,B1,Fully Paid
14000,14000,12955.23056, 60 months,15.95%,340.09,D,D4,Fully Paid
3500,3500,3500.0, 36 months,12.99%,117.92,C,C1,Fully Paid
10000,10000,9975.0, 36 months,14.35%,343.48,C,C4,Fully Paid
9000,9000,665.93, 36 months,10.59%,292.91,C,C2,Fully Paid
19600,19600,19374.7131, 60 months,13.49%,450.9,C,C2,Fully Paid
25000,25000,24354.06556, 60 months,10.65%,539.21,B,B2,Fully Paid
6000,6000,6000.0, 36 months,8.90%,190.52,A,A5,Fully Paid
25000,25000,25000.0, 60 months,19.69%,658.05,E,E5,Fully Paid
20000,20000,18314.70022, 36 months,17.04%,713.49,E,E3,Fully Paid
20375,20375,20350.0, 60 months,16.49%,500.81,D,D3,Fully Paid
12000,12000,12000.0, 36 months,17.14%,428.67,E,E3,Fully Paid
15000,15000,14750.0, 36 months,7.51%,466.67,A,A3,Fully Paid
5000,5000,5000.0, 36 months,6.99%,154.37,A,A3,Fully Paid
8500,8500,7975.0, 36 months,7.88%,265.89,A,A5,Fully Paid
10000,10000,10000.0, 36 months,11.83%,331.34,B,B3,Fully Paid
20000,20000,19770.94594, 36 months,13.98%,683.36,C,C3,Fully Paid
1750,1750,1750.0, 36 months,10.65%,57.01,B,B2,Fully Paid
6000,6000,6000.0, 36 months,7.49%,186.61,A,A4,Fully Paid
10000,10000,10000.0, 36 months,5.99%,304.18,A,A2,Fully Paid
20000,20000,19975.0, 60 months,14.91%,474.86,D,D2,Fully Paid
15000,15000,14750.0, 60 months,13.49%,345.08,C,C1,Fully Paid
33600,33600,33550.0, 60 months,21.36%,915.82,F,F4,Fully Paid
7475,7475,7475.0, 36 months,5.42%,225.45,A,A1,Fully Paid
10000,10000,9975.0, 60 months,18.79%,258.26,E,E3,Fully Paid
10000,10000,10000.0, 36 months,15.58%,349.51,D,D3,Fully Paid
22650,22650,22625.0, 36 months,6.91%,698.44,A,A5,Fully Paid
35000,35000,35000.0, 60 months,22.74%,981.45,G,G1,Fully Paid
13000,13000,13000.0, 36 months,10.65%,423.46,B,B2,Fully Paid
14400,14400,14150.0, 36 months,12.69%,483.05,B,B5,Fully Paid
25000,25000,23950.0, 36 months,10.62%,814.0,B,B3,Fully Paid
9450,9450,9450.0, 36 months,5.99%,287.45,A,A2,Fully Paid
3500,3500,3500.0, 36 months,8.49%,110.48,A,A5,Fully Paid
4800,4800,4800.0, 36 months,10.37%,155.72,B,B3,Fully Paid
15000,15000,15000.0, 60 months,15.28%,359.06,D,D3,Fully Paid
4750,4750,3750.0, 36 months,7.14%,146.97,A,A3,Fully Paid
14000,14000,13850.0, 60 months,9.99%,297.39,B,B1,Fully Paid
1800,1800,1800.0, 36 months,8.49%,56.82,A,A5,Fully Paid
12875,12875,12875.0, 60 months,10.00%,273.56,B,B2,Fully Paid
9475,9475,9475.0, 60 months,12.99%,215.54,C,C1,Fully Paid
20000,20000,2055.5, 36 months,14.38%,687.25,E,E4,Fully Paid
10000,10000,10000.0, 36 months,14.27%,343.09,C,C2,Fully Paid
5500,5500,975.0, 36 months,9.20%,175.42,B,B1,Fully Paid
14000,14000,14000.0, 36 months,6.62%,429.86,A,A2,Fully Paid
20000,20000,19800.0, 36 months,11.48%,659.37,B,B2,Fully Paid
20000,20000,19774.10102, 60 months,18.25%,510.6,F,F1,Fully Paid
8000,8000,7811.471656, 36 months,11.26%,262.91,B,B2,Fully Paid
13500,13500,13450.0, 36 months,10.59%,439.36,B,B2,Fully Paid
9000,9000,9000.0, 60 months,17.49%,226.06,D,D5,Fully Paid
15000,15000,15000.0, 36 months,6.03%,456.54,A,A1,Fully Paid
8000,8000,8000.0, 36 months,13.49%,271.45,C,C2,Fully Paid
7000,7000,6825.0, 36 months,8.94%,222.41,A,A5,Fully Paid
10000,10000,9874.422965, 36 months,12.18%,333.0,B,B4,Fully Paid
5000,5000,5000.0, 36 months,11.49%,164.86,B,B4,Fully Paid
3000,3000,950.0, 36 months,8.70%,94.98,B,B1,Fully Paid
27575,27575,27575.0, 36 months,10.65%,898.21,B,B2,Fully Paid
12000,12000,12000.0, 36 months,7.29%,372.12,A,A4,Fully Paid
7500,7500,7500.0, 36 months,14.35%,257.61,C,C4,Fully Paid
17600,17600,17513.6019, 60 months,19.79%,464.24,F,F5,Fully Paid
30000,30000,29904.78897, 60 months,16.40%,735.94,E,E1,Fully Paid
25000,25000,24950.0, 60 months,12.61%,563.85,C,C2,Fully Paid
7400,7400,7400.0, 36 months,5.42%,223.19,A,A1,Fully Paid
5600,5600,4856.35, 36 months,14.42%,192.55,D,D2,Fully Paid
16000,16000,16000.0, 36 months,14.65%,551.91,C,C3,Fully Paid
4800,4800,4800.0, 36 months,12.61%,160.84,C,C2,Fully Paid
28000,28000,28000.0, 36 months,14.91%,969.4,D,D2,Fully Paid
35000,35000,34975.0, 60 months,17.99%,888.58,E,E1,Fully Paid
8000,8000,7975.0, 36 months,7.66%,249.44,A,A5,Fully Paid
11000,11000,10000.0, 36 months,7.88%,344.09,A,A5,Fully Paid
8000,8000,8000.0, 36 months,7.49%,248.82,A,A4,Fully Paid
10000,10000,8211.857358, 36 months,8.00%,313.37,A,A3,Fully Paid
16000,16000,15750.0, 36 months,10.00%,516.28,B,B2,Fully Paid
4800,4800,4800.0, 36 months,12.42%,160.4,B,B4,Fully Paid
11200,11200,11150.0, 60 months,15.65%,270.29,D,D4,Fully Paid
8000,8000,7925.0, 36 months,5.42%,241.28,A,A1,Fully Paid
12000,12000,11975.0, 60 months,16.32%,293.87,E,E2,Fully Paid
6000,6000,6000.0, 36 months,9.99%,193.58,B,B1,Fully Paid
6200,6200,6183.873601, 36 months,5.42%,187.0,A,A1,Fully Paid
20000,20000,20000.0, 60 months,17.58%,503.32,D,D4,Fully Paid
22000,22000,21850.0, 36 months,7.90%,688.39,A,A4,Fully Paid
16800,16800,16800.0, 36 months,12.61%,562.91,C,C2,Fully Paid
23850,23850,23850.0, 60 months,19.03%,619.08,E,E2,Fully Paid
25850,25850,25850.0, 36 months,7.90%,808.86,A,A4,Fully Paid
7000,7000,7000.0, 60 months,15.23%,167.38,C,C5,Fully Paid
3075,3075,3075.0, 36 months,10.37%,99.76,B,B3,Fully Paid
3425,3425,3425.0, 36 months,13.43%,116.12,C,C3,Fully Paid
5000,5000,5000.0, 36 months,15.21%,173.85,D,D2,Fully Paid
10000,10000,9876.866741, 36 months,7.88%,312.82,A,A5,Fully Paid
20000,20000,19539.1366, 60 months,17.88%,506.57,E,E5,Fully Paid
10000,10000,9900.0, 36 months,8.94%,317.72,A,A5,Fully Paid
7500,7500,0.0, 36 months,10.39%,243.38,B,B4,Fully Paid
9000,9000,8700.0, 36 months,8.00%,282.03,A,A3,Fully Paid
8000,8000,7882.719001, 36 months,11.89%,265.32,B,B4,Fully Paid
10000,6000,700.0, 36 months,8.70%,189.97,B,B1,Fully Paid
6000,6000,6000.0, 36 months,7.68%,187.15,A,A2,Fully Paid
15000,15000,14646.239, 36 months,11.36%,493.67,B,B5,Fully Paid
2400,2400,2400.0, 60 months,14.17%,56.06,C,C5,Fully Paid
21350,21350,21325.0, 60 months,13.49%,491.16,C,C1,Fully Paid
2500,2500,1412.23, 36 months,10.78%,81.59,C,C1,Fully Paid
12000,12000,11975.0, 36 months,12.42%,400.99,B,B4,Fully Paid
5000,5000,5000.0, 36 months,13.49%,169.66,C,C2,Fully Paid
10000,10000,9950.0, 36 months,14.27%,343.09,C,C2,Fully Paid
10000,10000,9971.041312, 36 months,13.48%,339.25,C,C3,Fully Paid
20000,20000,19646.69, 36 months,11.48%,659.37,B,B2,Fully Paid
15000,15000,14613.16215, 36 months,11.83%,497.01,B,B3,Fully Paid
3000,3000,3000.0, 36 months,9.63%,96.29,B,B1,Fully Paid
7000,7000,7000.0, 36 months,14.35%,240.44,C,C4,Fully Paid
3000,3000,3000.0, 36 months,11.49%,98.92,B,B4,Fully Paid
12000,12000,11800.0, 36 months,7.88%,375.38,A,A5,Fully Paid
3600,3600,3600.0, 36 months,5.99%,109.51,A,A2,Fully Paid
5000,3125,0.0, 36 months,8.63%,98.84,A,A5,Fully Paid
4000,4000,4000.0, 36 months,7.49%,124.41,A,A4,Fully Paid
7200,7200,7200.0, 36 months,10.65%,234.53,B,B2,Fully Paid
7500,7500,7500.0, 36 months,6.03%,228.27,A,A1,Fully Paid
6700,6700,6524.726015, 36 months,14.26%,229.85,C,C5,Fully Paid
18000,18000,17700.0, 36 months,10.59%,585.81,B,B2,Fully Paid
10750,10750,10750.0, 60 months,14.83%,254.79,D,D3,Fully Paid
12500,12500,12350.0, 36 months,10.25%,404.81,B,B2,Fully Paid
5000,5000,5000.0, 36 months,16.49%,177.0,D,D3,Fully Paid
12000,12000,11975.0, 36 months,8.90%,381.04,A,A5,Fully Paid
16000,16000,15750.0, 36 months,12.69%,536.72,B,B5,Fully Paid
5500,5500,5500.0, 36 months,13.57%,186.83,C,C3,Fully Paid
2500,2500,2500.0, 36 months,6.99%,77.19,A,A3,Fully Paid
12000,12000,12000.0, 36 months,5.42%,361.92,A,A1,Fully Paid
11200,11200,11200.0, 36 months,7.49%,348.34,A,A4,Fully Paid
24250,24250,24014.39379, 36 months,12.87%,815.61,C,C1,Fully Paid
1800,1800,1800.0, 36 months,13.35%,60.96,C,C4,Fully Paid
10000,10000,9975.0, 36 months,12.73%,335.67,C,C1,Fully Paid
6000,6000,5850.0, 36 months,8.94%,190.63,A,A5,Fully Paid
8725,8725,8725.0, 36 months,5.99%,265.4,A,A2,Fully Paid
4125,4125,4125.0, 60 months,12.69%,93.21,B,B5,Fully Paid
3000,3000,3000.0, 36 months,16.49%,106.2,D,D3,Fully Paid
6000,6000,6000.0, 36 months,6.62%,184.23,A,A2,Fully Paid
3000,3000,3000.0, 36 months,11.49%,98.92,B,B4,Fully Paid
7000,7000,7000.0, 36 months,15.95%,245.93,D,D4,Fully Paid
12000,12000,11960.66738, 36 months,13.85%,409.26,C,C4,Fully Paid
5000,5000,5000.0, 36 months,13.72%,170.21,C,C5,Fully Paid
10000,10000,10000.0, 36 months,6.03%,304.36,A,A1,Fully Paid
